_RAJ2000,_DEJ2000,KOI-S,KOI-P,M*,R*,CDPP,b,Per,Rp,Teq,SimbadName,_RA,_DE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
291.38599,41.9902689,K00041,K00041.02,1.107,1.55,23.331,0.5134,6.88706037,1.35499222518,1186.84221864,KOI-41.02,291.38599,41.99027,Gaia DR3 2101733244046205568,291.38613317782,41.99013540916,0.0,0.0,162.0,1636148068921376768,2101733244046205568,367856067,0.0089,0.0094,3.2578,0.0101,321.1223,34.893,19.987,0.012,-28.602,0.013,-0.0332,-0.0105,0.0456,0.0595,-0.0194,0.0515,-0.1808,-0.0974,0.0189,0.0174,425,425,424,1,-4.4154,1039.4,0.09,14.424,31,true,1.557,,,,,,,,48,29,0.017508,52,0.01057,126.0,0,0,0.851,0,409,666049.00043,104.666,6363.56,11.128601,0.002761,51,358931.0,242.81,1478.23,11.451016,0.002885,50,439522.0,115.939,3790.96,10.640445,0.00379,1.199,0,0,0,0,0,0.810572,0.322415,0.488156,-61.36,0.38,1,17,6,16,54.369,0.45048,0.328013,915.848,5.07,5750.0,4.0,0.0,222,,,,10.45715,0.009858,11,,NOT_AVAILABLE,0.0,0.0,0.999712,5713.8,5700.2,5735.1,4.0225,4.0138,4.0404,-0.1335,-0.1452,-0.1195,301.1336,296.0487,303.5304,0.0265,0.0179,0.0402,0.0222,0.015,0.0337,0.0119,0.008,0.0181,MARCS,291.38601366144,41.99026252792,0.199326,0.202452,0.0121,0.614585
291.38599,41.9902689,K00041,K00041.03,1.107,1.55,23.331,0.5942,35.3330866,1.54030685774,687.852770045,KOI-41.03,291.38599,41.99027,Gaia DR3 2101733244046205568,291.38613317782,41.99013540916,0.0,0.0,162.0,1636148068921376768,2101733244046205568,367856067,0.0089,0.0094,3.2578,0.0101,321.1223,34.893,19.987,0.012,-28.602,0.013,-0.0332,-0.0105,0.0456,0.0595,-0.0194,0.0515,-0.1808,-0.0974,0.0189,0.0174,425,425,424,1,-4.4154,1039.4,0.09,14.424,31,true,1.557,,,,,,,,48,29,0.017508,52,0.01057,126.0,0,0,0.851,0,409,666049.00043,104.666,6363.56,11.128601,0.002761,51,358931.0,242.81,1478.23,11.451016,0.002885,50,439522.0,115.939,3790.96,10.640445,0.00379,1.199,0,0,0,0,0,0.810572,0.322415,0.488156,-61.36,0.38,1,17,6,16,54.369,0.45048,0.328013,915.848,5.07,5750.0,4.0,0.0,222,,,,10.45715,0.009858,11,,NOT_AVAILABLE,0.0,0.0,0.999712,5713.8,5700.2,5735.1,4.0225,4.0138,4.0404,-0.1335,-0.1452,-0.1195,301.1336,296.0487,303.5304,0.0265,0.0179,0.0402,0.0222,0.015,0.0337,0.0119,0.008,0.0181,MARCS,291.38601366144,41.99026252792,0.199326,0.202452,0.0121,0.614585
291.38599,41.9902689,K00041,K00041.01,1.107,1.55,23.331,0.5891,12.81588378,2.3743738113,965.148486944,KOI-41.01,291.38599,41.99027,Gaia DR3 2101733244046205568,291.38613317782,41.99013540916,0.0,0.0,162.0,1636148068921376768,2101733244046205568,367856067,0.0089,0.0094,3.2578,0.0101,321.1223,34.893,19.987,0.012,-28.602,0.013,-0.0332,-0.0105,0.0456,0.0595,-0.0194,0.0515,-0.1808,-0.0974,0.0189,0.0174,425,425,424,1,-4.4154,1039.4,0.09,14.424,31,true,1.557,,,,,,,,48,29,0.017508,52,0.01057,126.0,0,0,0.851,0,409,666049.00043,104.666,6363.56,11.128601,0.002761,51,358931.0,242.81,1478.23,11.451016,0.002885,50,439522.0,115.939,3790.96,10.640445,0.00379,1.199,0,0,0,0,0,0.810572,0.322415,0.488156,-61.36,0.38,1,17,6,16,54.369,0.45048,0.328013,915.848,5.07,5750.0,4.0,0.0,222,,,,10.45715,0.009858,11,,NOT_AVAILABLE,0.0,0.0,0.999712,5713.8,5700.2,5735.1,4.0225,4.0138,4.0404,-0.1335,-0.1452,-0.1195,301.1336,296.0487,303.5304,0.0265,0.0179,0.0402,0.0222,0.015,0.0337,0.0119,0.008,0.0181,MARCS,291.38601366144,41.99026252792,0.199326,0.202452,0.0121,0.614585
283.25549,48.3552319,K00046,K00046.02,1.156,1.58,54.612,0.4143,6.02979518,1.18082284298,1203.2734357,KOI-46.02,283.25549,48.35523,Gaia DR3 2131709921047710336,283.2555071764,48.35524835514,0.0,0.0,145.0,1636148068921376768,2131709921047710336,394346557,0.0104,0.0109,1.0851,0.0112,96.6861,6.895,0.73,0.013,6.856,0.014,-0.1447,-0.0412,-0.0542,0.0477,0.2626,0.0062,-0.2562,-0.04,-0.1585,0.0081,333,9,333,0,1.3385,365.37,0.0,0.0,31,true,1.531,,,,,,,,38,26,0.019214,40,0.01354,179.4,0,0,1.052,0,344,71278.64045,11.6672,6109.33,13.554968,0.002761,34,36454.9,23.5991,1544.76,13.934153,0.002877,33,49323.2,20.8889,2361.22,13.015267,0.003807,1.203,0,0,0,0,0,0.918885,0.379185,0.539701,-79.08,2.17,2,21,2,17,9.7074,,,853.185,,5500.0,4.0,0.25,222,,,,12.896423,0.048841,19,,NOT_AVAILABLE,0.0,0.0,0.999949,5520.6,5511.7,5531.6,4.1519,4.1466,4.1569,0.1817,0.1703,0.1945,896.3782,887.994,905.5527,0.1022,0.0963,0.1097,0.0844,0.0794,0.0906,0.0447,0.0421,0.048,MARCS,283.25550229652,48.35521788352,0.206579,0.221064,0.0049,0.072094
283.25549,48.3552319,K00046,K00046.01,1.156,1.58,54.612,0.0356,3.487689428,5.69830050599,1443.88365415,KOI-46.01,283.25549,48.35523,Gaia DR3 2131709921047710336,283.2555071764,48.35524835514,0.0,0.0,145.0,1636148068921376768,2131709921047710336,394346557,0.0104,0.0109,1.0851,0.0112,96.6861,6.895,0.73,0.013,6.856,0.014,-0.1447,-0.0412,-0.0542,0.0477,0.2626,0.0062,-0.2562,-0.04,-0.1585,0.0081,333,9,333,0,1.3385,365.37,0.0,0.0,31,true,1.531,,,,,,,,38,26,0.019214,40,0.01354,179.4,0,0,1.052,0,344,71278.64045,11.6672,6109.33,13.554968,0.002761,34,36454.9,23.5991,1544.76,13.934153,0.002877,33,49323.2,20.8889,2361.22,13.015267,0.003807,1.203,0,0,0,0,0,0.918885,0.379185,0.539701,-79.08,2.17,2,21,2,17,9.7074,,,853.185,,5500.0,4.0,0.25,222,,,,12.896423,0.048841,19,,NOT_AVAILABLE,0.0,0.0,0.999949,5520.6,5511.7,5531.6,4.1519,4.1466,4.1569,0.1817,0.1703,0.1945,896.3782,887.994,905.5527,0.1022,0.0963,0.1097,0.0844,0.0794,0.0906,0.0447,0.0421,0.048,MARCS,283.25550229652,48.35521788352,0.206579,0.221064,0.0049,0.072094
287.698,42.3387181,K00070,K00070.05,0.934,0.949,39.416,0.3268,19.5776286,1.0161155232,634.7316453,KOI-70.05,287.698,42.33872,Gaia DR3 2102548708017562112,287.69799066943,42.33857435906,0.0,0.0,165.0,1636148068921376768,2102548708017562112,351423977,0.0079,0.0094,3.4936,0.0095,369.5816,27.38,-3.869,0.011,-27.105,0.011,-0.0993,-0.0259,-0.078,0.0327,0.1329,0.0178,-0.2418,-0.0933,-0.0975,-0.0881,378,378,378,0,0.6464,589.22,0.056,4.3312,31,false,1.529,,,,,,,,43,28,0.016285,44,0.007676,168.8,0,0,1.023,0,372,198034.22421,31.2243,6342.31,12.445517,0.002761,40,100980.0,54.6882,1846.46,12.827958,0.002851,39,137568.0,36.262,3793.72,11.901603,0.00379,1.205,0,1,0,0,0,0.926355,0.382442,0.543914,-21.98,0.92,1,18,8,17,20.311,-1.3595,0.828319,915.346,11.84,5500.0,4.5,0.0,222,,,,11.695343,0.08961,10,,NOT_AVAILABLE,0.0,0.0,0.999853,5485.3,5461.4,5501.2,4.4571,4.4415,4.4667,0.0133,-0.0127,0.0298,283.9439,283.1545,284.8321,0.0998,0.0851,0.1104,0.0823,0.0701,0.091,0.0438,0.0373,0.0484,MARCS,287.6980139308,42.33869482519,0.171676,0.184776,-0.0891,0.518063
287.698,42.3387181,K00070,K00070.03,0.934,0.949,39.416,0.1206,77.6115987,2.68703216927,401.06531309,KOI-70.03,287.698,42.33872,Gaia DR3 2102548708017562112,287.69799066943,42.33857435906,0.0,0.0,165.0,1636148068921376768,2102548708017562112,351423977,0.0079,0.0094,3.4936,0.0095,369.5816,27.38,-3.869,0.011,-27.105,0.011,-0.0993,-0.0259,-0.078,0.0327,0.1329,0.0178,-0.2418,-0.0933,-0.0975,-0.0881,378,378,378,0,0.6464,589.22,0.056,4.3312,31,false,1.529,,,,,,,,43,28,0.016285,44,0.007676,168.8,0,0,1.023,0,372,198034.22421,31.2243,6342.31,12.445517,0.002761,40,100980.0,54.6882,1846.46,12.827958,0.002851,39,137568.0,36.262,3793.72,11.901603,0.00379,1.205,0,1,0,0,0,0.926355,0.382442,0.543914,-21.98,0.92,1,18,8,17,20.311,-1.3595,0.828319,915.346,11.84,5500.0,4.5,0.0,222,,,,11.695343,0.08961,10,,NOT_AVAILABLE,0.0,0.0,0.999853,5485.3,5461.4,5501.2,4.4571,4.4415,4.4667,0.0133,-0.0127,0.0298,283.9439,283.1545,284.8321,0.0998,0.0851,0.1104,0.0823,0.0701,0.091,0.0438,0.0373,0.0484,MARCS,287.6980139308,42.33869482519,0.171676,0.184776,-0.0891,0.518063
287.698,42.3387181,K00070,K00070.01,0.934,0.949,39.416,0.4384,10.854097835,3.10098924285,772.508081932,KOI-70.01,287.698,42.33872,Gaia DR3 2102548708017562112,287.69799066943,42.33857435906,0.0,0.0,165.0,1636148068921376768,2102548708017562112,351423977,0.0079,0.0094,3.4936,0.0095,369.5816,27.38,-3.869,0.011,-27.105,0.011,-0.0993,-0.0259,-0.078,0.0327,0.1329,0.0178,-0.2418,-0.0933,-0.0975,-0.0881,378,378,378,0,0.6464,589.22,0.056,4.3312,31,false,1.529,,,,,,,,43,28,0.016285,44,0.007676,168.8,0,0,1.023,0,372,198034.22421,31.2243,6342.31,12.445517,0.002761,40,100980.0,54.6882,1846.46,12.827958,0.002851,39,137568.0,36.262,3793.72,11.901603,0.00379,1.205,0,1,0,0,0,0.926355,0.382442,0.543914,-21.98,0.92,1,18,8,17,20.311,-1.3595,0.828319,915.346,11.84,5500.0,4.5,0.0,222,,,,11.695343,0.08961,10,,NOT_AVAILABLE,0.0,0.0,0.999853,5485.3,5461.4,5501.2,4.4571,4.4415,4.4667,0.0133,-0.0127,0.0298,283.9439,283.1545,284.8321,0.0998,0.0851,0.1104,0.0823,0.0701,0.091,0.0438,0.0373,0.0484,MARCS,287.6980139308,42.33869482519,0.171676,0.184776,-0.0891,0.518063
287.698,42.3387181,K00070,K00070.02,0.934,0.949,39.416,0.8424,3.696119675,2.15716558913,1106.44153745,KOI-70.02,287.698,42.33872,Gaia DR3 2102548708017562112,287.69799066943,42.33857435906,0.0,0.0,165.0,1636148068921376768,2102548708017562112,351423977,0.0079,0.0094,3.4936,0.0095,369.5816,27.38,-3.869,0.011,-27.105,0.011,-0.0993,-0.0259,-0.078,0.0327,0.1329,0.0178,-0.2418,-0.0933,-0.0975,-0.0881,378,378,378,0,0.6464,589.22,0.056,4.3312,31,false,1.529,,,,,,,,43,28,0.016285,44,0.007676,168.8,0,0,1.023,0,372,198034.22421,31.2243,6342.31,12.445517,0.002761,40,100980.0,54.6882,1846.46,12.827958,0.002851,39,137568.0,36.262,3793.72,11.901603,0.00379,1.205,0,1,0,0,0,0.926355,0.382442,0.543914,-21.98,0.92,1,18,8,17,20.311,-1.3595,0.828319,915.346,11.84,5500.0,4.5,0.0,222,,,,11.695343,0.08961,10,,NOT_AVAILABLE,0.0,0.0,0.999853,5485.3,5461.4,5501.2,4.4571,4.4415,4.4667,0.0133,-0.0127,0.0298,283.9439,283.1545,284.8321,0.0998,0.0851,0.1104,0.0823,0.0701,0.091,0.0438,0.0373,0.0484,MARCS,287.6980139308,42.33869482519,0.171676,0.184776,-0.0891,0.518063
287.698,42.3387181,K00070,K00070.04,0.934,0.949,39.416,0.5636,6.09853672,0.843828292821,936.145332172,KOI-70.04,287.698,42.33872,Gaia DR3 2102548708017562112,287.69799066943,42.33857435906,0.0,0.0,165.0,1636148068921376768,2102548708017562112,351423977,0.0079,0.0094,3.4936,0.0095,369.5816,27.38,-3.869,0.011,-27.105,0.011,-0.0993,-0.0259,-0.078,0.0327,0.1329,0.0178,-0.2418,-0.0933,-0.0975,-0.0881,378,378,378,0,0.6464,589.22,0.056,4.3312,31,false,1.529,,,,,,,,43,28,0.016285,44,0.007676,168.8,0,0,1.023,0,372,198034.22421,31.2243,6342.31,12.445517,0.002761,40,100980.0,54.6882,1846.46,12.827958,0.002851,39,137568.0,36.262,3793.72,11.901603,0.00379,1.205,0,1,0,0,0,0.926355,0.382442,0.543914,-21.98,0.92,1,18,8,17,20.311,-1.3595,0.828319,915.346,11.84,5500.0,4.5,0.0,222,,,,11.695343,0.08961,10,,NOT_AVAILABLE,0.0,0.0,0.999853,5485.3,5461.4,5501.2,4.4571,4.4415,4.4667,0.0133,-0.0127,0.0298,283.9439,283.1545,284.8321,0.0998,0.0851,0.1104,0.0823,0.0701,0.091,0.0438,0.0373,0.0484,MARCS,287.6980139308,42.33869482519,0.171676,0.184776,-0.0891,0.518063
